code,regency_code,name
11.01.01,1101,Bakongan
11.01.02,1101,Kluet Utara
11.01.03,1101,Kluet Selatan
11.01.04,1101,Labuhanhaji
11.01.05,1101,Meukek
11.01.06,1101,Samadua
11.01.07,1101,Sawang
11.01.08,1101,Tapaktuan
11.01.09,1101,Trumon
11.01.10,1101,Pasi Raja
11.01.11,1101,Labuhan Haji Timur
11.01.12,1101,Labuhan Haji Barat
11.01.13,1101,Kluet Tengah
11.01.14,1101,Kluet Timur
11.01.15,1101,Bakongan Timur
11.01.16,1101,Trumon Timur
11.01.17,1101,Kota Bahagia
11.01.18,1101,Trumon Tengah
11.02.01,1102,Lawe Alas
11.02.02,1102,Lawe Sigala-Gala
11.02.03,1102,Bambel
11.02.04,1102,Babussalam
11.02.05,1102,Badar
11.02.06,1102,Babul Makmur
11.02.07,1102,Darul Hasanah
11.02.08,1102,Lawe Bulan
11.02.09,1102,Bukit Tusam
11.02.10,1102,Semadam
11.02.11,1102,Babul Rahmah
11.02.12,1102,Ketambe
11.02.13,1102,Deleng Pokhkisen
11.02.14,1102,Lawe Sumur
11.02.15,1102,Tanoh Alas
11.02.16,1102,Leuser
11.03.01,1103,Darul Aman
11.03.02,1103,Julok
11.03.03,1103,Idi Rayeuk
11.03.04,1103,Birem Bayeun
11.03.05,1103,Serbajadi
11.03.06,1103,Nurussalam
11.03.07,1103,Peureulak
11.03.08,1103,Rantau Selamat
11.03.09,1103,Simpang Ulim
11.03.10,1103,Ranto Peureulak
11.03.11,1103,Pante Bidari
11.03.12,1103,Madat
11.03.13,1103,Indra Makmu
11.03.14,1103,Idi Tunong
11.03.15,1103,Banda Alam
11.03.16,1103,Peudawa
11.03.17,1103,Peureulak Timur
11.03.18,1103,Peureulak Barat
11.03.19,1103,Sungai Raya
11.03.20,1103,Simpang Jernih
11.03.21,1103,Darul Ihsan
11.03.22,1103,Darul Falah
11.03.23,1103,Idi Timur
11.03.24,1103,Peunaron
11.04.01,1104,Linge
11.04.02,1104,Silih Nara
11.04.03,1104,Bebesen
11.04.07,1104,Pegasing
11.04.08,1104,Bintang
11.04.10,1104,Ketol
11.04.11,1104,Kebayakan
11.04.12,1104,Kute Panang
11.04.13,1104,Celala
11.04.17,1104,Laut Tawar
11.04.18,1104,Atu Lintang
11.04.19,1104,Jagong Jeget
11.04.20,1104,Bies
11.04.21,1104,Rusip Antara
11.05.01,1105,Johan Pahlawan
11.05.02,1105,Kaway XVI
11.05.03,1105,Sungai Mas
11.05.04,1105,Woyla
11.05.05,1105,Samatiga
11.05.06,1105,Bubon
11.05.07,1105,Arongan Lambalek
11.05.08,1105,Pante Ceureumen
11.05.09,1105,Meureubo
11.05.10,1105,Woyla Barat
11.05.11,1105,Woyla Timur
11.05.12,1105,Panton Reu
11.06.01,1106,Lhoong
11.06.02,1106,Lhoknga
11.06.03,1106,Indrapuri
11.06.04,1106,Seulimeum
11.06.05,1106,Montasik
11.06.06,1106,Sukamakmur
11.06.07,1106,Darul Imarah
11.06.08,1106,Peukan Bada
11.06.09,1106,Mesjid Raya
11.06.10,1106,Ingin Jaya
11.06.11,1106,Kuta Baro
11.06.12,1106,Darussalam
11.06.13,1106,Pulo Aceh
11.06.14,1106,Lembah Seulawah
11.06.15,1106,Kota Jantho
11.06.16,1106,Kuta Cot Glie
11.06.17,1106,Kuta Malaka
11.06.18,1106,Simpang Tiga
11.06.19,1106,Darul Kamal
11.06.20,1106,Baitussalam
11.06.21,1106,Krueng Barona Jaya
11.06.22,1106,Leupung
