code,province_code,name
11.01,11,KABUPATEN ACEH SELATAN
11.02,11,KABUPATEN ACEH TENGGARA
11.03,11,KABUPATEN ACEH TIMUR
11.04,11,KABUPATEN ACEH TENGAH
11.05,11,KABUPATEN ACEH BARAT
11.06,11,KABUPATEN ACEH BESAR
11.07,11,KABUPATEN PIDIE
11.08,11,KABUPATEN ACEH UTARA
11.09,11,KABUPATEN SIMEULUE
11.10,11,KABUPATEN ACEH SINGKIL
11.11,11,KABUPATEN BIREUEN
11.12,11,KABUPATEN ACEH BARAT DAYA
11.13,11,KABUPATEN GAYO LUES
11.14,11,KABUPATEN ACEH JAYA
11.15,11,KABUPATEN NAGAN RAYA
11.16,11,KABUPATEN ACEH TAMIANG
11.17,11,KABUPATEN BENER MERIAH
11.18,11,KABUPATEN PIDIE JAYA
11.71,11,KOTA BANDA ACEH
11.72,11,KOTA SABANG
11.73,11,KOTA LHOKSEUMAWE
11.74,11,KOTA LANGSA
11.75,11,KOTA SUBULUSSALAM
12.01,12,KABUPATEN TAPANULI TENGAH
12.02,12,KABUPATEN TAPANULI UTARA
12.03,12,KABUPATEN TAPANULI SELATAN
12.04,12,KABUPATEN NIAS
12.05,12,KABUPATEN LANGKAT
12.06,12,KABUPATEN KARO
12.07,12,KABUPATEN DELI SERDANG
12.08,12,KABUPATEN SIMALUNGUN
12.09,12,KABUPATEN ASAHAN
12.10,12,KABUPATEN LABUHANBATU
12.11,12,KABUPATEN DAIRI
12.12,12,KABUPATEN TOBA
12.13,12,KABUPATEN MANDAILING NATAL
12.14,12,KABUPATEN NIAS SELATAN
12.15,12,KABUPATEN PAKPAK BHARAT
12.16,12,KABUPATEN HUMBANG HASUNDUTAN
12.17,12,KABUPATEN SAMOSIR
12.18,12,KABUPATEN SERDANG BEDAGAI
12.19,12,KABUPATEN BATU BARA
12.20,12,KABUPATEN PADANG LAWAS UTARA
12.21,12,KABUPATEN PADANG LAWAS
12.22,12,KABUPATEN LABUHANBATU SELATAN
12.23,12,KABUPATEN LABUHANBATU UTARA
12.24,12,KABUPATEN NIAS UTARA
12.25,12,KABUPATEN NIAS BARAT
12.71,12,KOTA MEDAN
12.72,12,KOTA PEMATANGSIANTAR
12.73,12,KOTA SIBOLGA
12.74,12,KOTA TANJUNG BALAI
12.75,12,KOTA BINJAI
12.76,12,KOTA TEBING TINGGI
12.77,12,KOTA PADANG SIDEMPUAN
12.78,12,KOTA GUNUNGSITOLI
13.01,13,KABUPATEN PESISIR SELATAN
13.02,13,KABUPATEN SOLOK
13.03,13,KABUPATEN SIJUNJUNG
13.04,13,KABUPATEN TANAH DATAR
13.05,13,KABUPATEN PADANG PARIAMAN
13.06,13,KABUPATEN AGAM
13.07,13,KABUPATEN LIMA PULUH KOTA
13.08,13,KABUPATEN PASAMAN
13.09,13,KABUPATEN KEPULAUAN MENTAWAI
13.10,13,KABUPATEN DHARMASRAYA
13.11,13,KABUPATEN SOLOK SELATAN
13.12,13,KABUPATEN PASAMAN BARAT
13.71,13,KOTA PADANG
13.72,13,KOTA SOLOK
13.73,13,KOTA SAWAHLUNTO
13.74,13,KOTA PADANG PANJANG
13.75,13,KOTA BUKITTINGGI
13.76,13,KOTA PAYAKUMBUH
13.77,13,KOTA PARIAMAN
14.01,14,KABUPATEN KAMPAR
14.02,14,KABUPATEN INDRAGIRI HULU
14.03,14,KABUPATEN BENGKALIS
14.04,14,KABUPATEN INDRAGIRI HILIR
14.05,14,KABUPATEN PELALAWAN
14.06,14,KABUPATEN ROKAN HULU
14.07,14,KABUPATEN ROKAN HILIR
14.08,14,KABUPATEN SIAK
14.09,14,KABUPATEN KUANTAN SINGINGI
14.10,14,KABUPATEN KEPULAUAN MERANTI
