code,district_code,name
11.01.01.2001,110101,Keude Bakongan
11.01.01.2002,110101,Ujong Mangki
11.01.01.2003,110101,Ujong Padang
11.01.01.2004,110101,Gampong Drien
11.01.01.2015,110101,Darul Ikhsan
11.01.01.2016,110101,Padang Beurahan
11.01.01.2017,110101,Gampong Baro
11.01.02.2001,110102,Fajar Harapan
11.01.02.2002,110102,Krueng Batee
11.01.02.2003,110102,Pasi Kuala Asahan
11.01.02.2004,110102,Gunong Pulo
11.01.02.2005,110102,Pulo Ie I
11.01.02.2006,110102,Jambo Manyang
11.01.02.2007,110102,Simpang Empat
11.01.02.2008,110102,Limau Purut
11.01.02.2009,110102,Pulo Kambing
11.01.02.2010,110102,Kampung Paya
11.01.02.2011,110102,Krueng Batu
11.01.02.2012,110102,Krueng Kluet
11.01.02.2013,110102,Alur Mas
11.01.02.2014,110102,Kampung Tinggi
11.01.02.2015,110102,Ruak
11.01.02.2016,110102,Simpang Lhee
11.01.02.2017,110102,Suaq Geuringgeng
11.01.02.2018,110102,Pasi Kuala Ba'u
11.01.02.2019,110102,Kedai Padang
11.01.02.2020,110102,Kotafajar
11.01.02.2021,110102,Gunung Pudung
11.01.03.2001,110103,Suaq Bakung
11.01.03.2002,110103,Rantau Binuang
11.01.03.2003,110103,Barat Daya
11.01.03.2004,110103,Sialang
11.01.03.2005,110103,Kapeh
11.01.03.2006,110103,Pulo Ie
11.01.03.2007,110103,Kedai Runding
11.01.03.2008,110103,Kedai Kandang
11.01.03.2009,110103,Gampong Luar
11.01.03.2010,110103,Ujung
11.01.03.2011,110103,Jua
11.01.03.2012,110103,Pasi Meurapat
11.01.03.2013,110103,Ujung Pasir
11.01.03.2014,110103,Geulumbuk
11.01.03.2015,110103,Pasie Lembang
11.01.03.2016,110103,Ujung Padang
11.01.03.2017,110103,Indra Damai
11.01.04.2001,110104,Bakau Hulu
11.01.04.2002,110104,Padang Bakau
11.01.04.2003,110104,Manggis Harapan
11.01.04.2004,110104,Pasar Lama
11.01.04.2005,110104,Apha
11.01.04.2006,110104,Ujung Batu
11.01.04.2007,110104,Pawoh
11.01.04.2008,110104,Dalam
11.01.04.2009,110104,Kota Palak
11.01.04.2010,110104,Cacang
11.01.04.2011,110104,Tengah Pisang
11.01.04.2012,110104,Pisang
11.01.04.2013,110104,Hulu Pisang
11.01.04.2014,110104,Tengah Baru
11.01.04.2015,110104,Lembah Baru
11.01.04.2016,110104,Padang Baru
11.01.05.2001,110105,Kuta Buloh II
11.01.05.2002,110105,Kuta Buloh I
11.01.05.2003,110105,Ie Dingen
11.01.05.2004,110105,Drien Jalo
11.01.05.2005,110105,Jambo Papeun
11.01.05.2006,110105,Buket Meuh
11.01.05.2007,110105,Blang Kuala
11.01.05.2008,110105,Rot Teungoh
11.01.05.2009,110105,Alue Baro
11.01.05.2010,110105,Ladang Tuha
11.01.05.2011,110105,Lhok Mamplam
11.01.05.2012,110105,Arun Tunggai
11.01.05.2013,110105,Blang Teungoh
11.01.05.2014,110105,Blang Bladeh
11.01.05.2015,110105,Ie Buboh
11.01.05.2016,110105,Keude Meukek
11.01.05.2017,110105,Kuta Baro
11.01.05.2018,110105,Tanjung Harapan
11.01.05.2019,110105,Labuhan Tarok
11.01.05.2020,110105,Lhok Aman
11.01.05.2021,110105,Alue Meutuah
11.01.05.2022,110105,Ladang Baro
11.01.05.2023,110105,Labuhan Tarok II
11.01.06.2001,110106,Dalam
11.01.06.2002,110106,Subarang
11.01.06.2003,110106,Kuta Baru
11.01.06.2004,110106,Gunung Ketek
11.01.06.2005,110106,Ladang Panton Luas
11.01.06.2006,110106,Madat
11.01.06.2007,110106,Alur Seumerah
11.01.06.2008,110106,Tengah
11.01.06.2009,110106,Gunung Cut
11.01.06.2010,110106,Alur Pinang
11.01.06.2011,110106,Kuta Blang
11.01.06.2012,110106,Batee Tunggai
11.01.06.2013,110106,Ujung Tanah
11.01.06.2014,110106,Ujung Kampung
11.01.06.2015,110106,Jilatang
11.01.06.2016,110106,Luar
11.01.06.2017,110106,Lubuk Layu
11.01.06.2018,110106,Suaq Hulu
11.01.06.2019,110106,Tampang
11.01.06.2020,110106,Payonan Gadang
11.01.06.2021,110106,Gadang
11.01.06.2022,110106,Baru
11.01.06.2023,110106,Ladang Kasik Putih
11.01.06.2024,110106,Air Sialang Hilir.
11.01.06.2025,110106,Air Sialang Hulu
11.01.06.2026,110106,Air Sialang Tengah
11.01.06.2027,110106,Balai
11.01.06.2028,110106,Arafah
11.01.07.2001,110107,Sikulat
11.01.07.2002,110107,Sawang I
11.01.07.2003,110107,Meuligo
11.01.07.2004,110107,Lhok Pawoh
11.01.07.2005,110107,Sawang II
11.01.07.2006,110107,Ujung Karang
11.01.07.2007,110107,Trieng Meuduro Baroh
11.01.07.2008,110107,Trieng Meuduro Tunong
11.01.07.2009,110107,Panton Luas
11.01.07.2010,110107,Simpang Tiga
11.01.07.2011,110107,Kuta Baro
11.01.07.2012,110107,Blang Geulinggang
11.01.07.2013,110107,Mutiara
11.01.07.2014,110107,Ujung Padang
11.01.07.2015,110107,Sawang Ba'u
11.01.08.2001,110108,Lhok Keutapang
11.01.08.2002,110108,Hilir
11.01.08.2003,110108,Padang
11.01.08.2004,110108,Hulu
11.01.08.2005,110108,Jambo Apha
11.01.08.2006,110108,Tepi Air
11.01.08.2007,110108,Pasar
11.01.08.2008,110108,Lhok Bengkuang
11.01.08.2009,110108,Panton Luas
11.01.08.2010,110108,Gunung Kerambil
11.01.08.2011,110108,Air Berudang
11.01.08.2012,110108,Batu Itam
11.01.08.2013,110108,Panjupian
11.01.08.2014,110108,Lhok Rukam
11.01.08.2015,110108,Air Pinang
11.01.08.2016,110108,Lhok Bengkuang Timur
11.01.09.2001,110109,Keude Trumon
11.01.09.2002,110109,Ujong Tanoh
11.01.09.2003,110109,Sigleng
11.01.09.2004,110109,Ie Meudama
11.01.09.2005,110109,Teupin Tinggi
11.01.09.2006,110109,Kuta Baro
11.01.09.2007,110109,Panton Bilie
11.01.09.2012,110109,Kuta Padang
11.01.09.2013,110109,Raket
11.01.09.2014,110109,Gampong Teungoh
11.01.09.2015,110109,Seuneubok Jaya
11.01.09.2016,110109,Padang Harapan
11.01.10.2001,110110,Ladang Teungoh
11.01.10.2002,110110,Pucok Krueng
11.01.10.2003,110110,Silolo
11.01.10.2004,110110,Kampung Baru
11.01.10.2005,110110,Panton Bili
11.01.10.2006,110110,Paya Ateuk
11.01.10.2007,110110,Ladang Tuha
11.01.10.2008,110110,Mata Ie
11.01.10.2009,110110,Ujong Batee
11.01.10.2010,110110,Lhok Sialang Cut
11.01.10.2011,110110,Seuneubok
11.01.10.2012,110110,Ie Mirah
11.01.10.2013,110110,Pasie Rasian
11.01.10.2014,110110,Ujung Padang Rasian
11.01.10.2015,110110,Krueng Kalee
11.01.10.2016,110110,Lhok Sialang Rayeuk
11.01.10.2017,110110,Gampong Baro
11.01.10.2018,110110,Teupin Gajah
11.01.10.2019,110110,Ujung Padang Asahan
11.01.10.2020,110110,Pulo Ie II
11.01.10.2021,110110,Pante Raja
11.01.11.2001,110111,Tengah Peulumat
11.01.11.2002,110111,Paya Peulumat
11.01.11.2003,110111,Padang Peulumat
11.01.11.2004,110111,Aur Peulumat
11.01.11.2005,110111,Limau Saring
11.01.11.2006,110111,Beutong
11.01.11.2007,110111,Peuneulop
11.01.11.2008,110111,Gunung Rotan
11.01.11.2009,110111,Keumumu Hilir
11.01.11.2010,110111,Keumumu Hulu
11.01.11.2011,110111,Keumumu Seberang
11.01.11.2012,110111,Sawang Indah
11.01.12.2001,110112,Tutong
11.01.12.2002,110112,Teungoh Iboh
11.01.12.2003,110112,Peulokan
11.01.12.2004,110112,Kuta Iboh
11.01.12.2005,110112,Ujung Padang
11.01.12.2006,110112,Blang Baru
11.01.12.2007,110112,Blang Poroh
11.01.12.2008,110112,Pulo Ie
11.01.12.2009,110112,Suak Lokan
11.01.12.2010,110112,Iku Lhueng
11.01.12.2011,110112,Kuta Trieng
11.01.12.2012,110112,Pante Geulima
11.01.12.2013,110112,Panton Pawoh
11.01.12.2014,110112,Batee Meucanang
11.01.12.2015,110112,Panton Rubek
11.01.13.2001,110113,Koto
11.01.13.2002,110113,Alur Keujrun
11.01.13.2003,110113,Jambo Papan
11.01.13.2004,110113,Malaka
11.01.13.2005,110113,Koto Indarung
11.01.13.2006,110113,Siurai-Urai
11.01.13.2007,110113,Kampung Sawah
11.01.13.2008,110113,Kampung Padang
11.01.13.2009,110113,Pulo Air
11.01.13.2010,110113,Lawe Melang
11.01.13.2011,110113,Mersak
11.01.13.2012,110113,Simpang Dua
11.01.13.2013,110113,Simpang Tiga
11.01.14.2001,110114,Paya Dapur
11.01.14.2002,110114,Sapik
11.01.14.2003,110114,Alai
11.01.14.2004,110114,Durian Kawan
11.01.14.2005,110114,Lawe Sawah
11.01.14.2006,110114,Lawe Buluh Didi
11.01.14.2007,110114,Pucuk Lembang
11.01.14.2008,110114,Paya Laba
11.01.14.2009,110114,Lawe Cimanok
11.01.15.2001,110115,Pasie Seubadeh
11.01.15.2002,110115,Ladang Rimba
11.01.15.2003,110115,Ujong Pulo Rayeuk
11.01.15.2004,110115,Sawah Tingkeum
11.01.15.2005,110115,Simpang
11.01.15.2006,110115,Ujong Pulo Cut
11.01.15.2008,110115,Seuleukat
11.01.16.2005,110116,Pinto Rimba
11.01.16.2006,110116,Krueng Luas
11.01.16.2007,110116,Jambo Dalem
11.01.16.2008,110116,Kapa Sesak
11.01.16.2009,110116,Seuneubok Punto
11.01.16.2010,110116,Seuneubok Pusaka
11.01.16.2011,110116,Alur Bujok
11.01.16.2012,110116,Titi Poben
11.01.17.2001,110117,Buket Gadeng
11.01.17.2002,110117,Rambong
11.01.17.2003,110117,Seuneubok Keuranji
11.01.17.2004,110117,Seuneubok Alur Buloh
11.01.17.2005,110117,Ujong Tanoh
11.01.17.2006,110117,Ujong Gunong Cut
11.01.17.2007,110117,Ujong Gunung Rayeuk
11.01.17.2008,110117,Beutong
11.01.17.2009,110117,Jambo Keupok
11.01.17.2010,110117,Alurduamas
11.01.18.2001,110118,Ladang Rimba
11.01.18.2002,110118,Gunong Kapho
11.01.18.2003,110118,Kampong Teungoh
11.01.18.2004,110118,Krueng Batee
11.01.18.2005,110118,Pulo Paya
11.01.18.2006,110118,Jambo Papeun
11.01.18.2007,110118,Cot Bayu
11.01.18.2008,110118,Naca
11.01.18.2009,110118,Ie Jeureuneh
11.01.18.2010,110118,Lhok Raya
11.02.01.2001,110201,Engkeran
11.02.01.2002,110201,Rumah Kampung
11.02.01.2004,110201,Pasir Bangun
11.02.01.2006,110201,Kubu
11.02.01.2007,110201,Lawe Kongker
11.02.01.2008,110201,Kuta Cingkam II
11.02.01.2009,110201,Muara Baru
11.02.01.2011,110201,Kuta Batu I
11.02.01.2012,110201,Kuta Cingkam I
11.02.01.2013,110201,Kuta Batu II
11.02.01.2014,110201,Lawe Sempilang
11.02.01.2015,110201,Prapat Batu Nunggul
11.02.01.2016,110201,Pulo Sepang
11.02.01.2017,110201,Rih Mbelang
11.02.01.2018,110201,Kute Batu Baru
11.02.01.2019,110201,Darul Amin
11.02.01.2020,110201,Lawe Lubang Indah
11.02.01.2021,110201,Batu Hamparan
11.02.01.2022,110201,Paye Munje
11.02.01.2023,110201,Pulo Ndadap
11.02.01.2024,110201,Pasir Nunggul
11.02.01.2025,110201,Cingkham Mekhanggun
11.02.01.2026,110201,Pintu Khimbe
11.02.01.2027,110201,Lawe Kongker Hilir
11.02.01.2028,110201,Pulo Gadung
11.02.01.2029,110201,Pasikh Pehkmate
11.02.01.2030,110201,Pasikh Nunang
11.02.01.2031,110201,Deleng Kukusen
11.02.02.2001,110202,Bukit Merdeka
11.02.02.2002,110202,Darul Aman
11.02.02.2003,110202,Lawe Kesumpat
11.02.02.2004,110202,Lawe Tua Gabungan
11.02.02.2005,110202,Lawe Sigala II
11.02.02.2006,110202,Lawe Sigala Timur
11.02.02.2007,110202,Lawe Sigala Barat
11.02.02.2008,110202,Suka Damai
11.02.02.2009,110202,Kute Tengah
11.02.02.2010,110202,Tanah Baru
11.02.02.2011,110202,Kedataran Gabungan
11.02.02.2012,110202,Gabungan Parsaroan
11.02.02.2013,110202,Lawe Loning Gabungan
11.02.02.2014,110202,Lawe Loning Aman
11.02.02.2015,110202,Suka Maju
11.02.02.2016,110202,Lawe Tua Makmur
11.02.02.2017,110202,Lawe Tua Persatuan
11.02.02.2018,110202,Lawe Serke
11.02.02.2019,110202,Lawe Rakat
11.02.02.2020,110202,Suka Jaya
11.02.02.2021,110202,Enmiya Batu Dua Ratus
11.02.02.2022,110202,Sebungke
11.02.02.2023,110202,Bukit Sepakat
11.02.02.2024,110202,Lawe Loning Sepakat
11.02.02.2025,110202,Lawe Loning I
11.02.02.2026,110202,Gaya Jaya
11.02.02.2027,110202,Gelah Musara
11.02.02.2028,110202,Mulie Dame
11.02.02.2029,110202,Lawe Loning Hakhapen
11.02.02.2030,110202,Karya Indah
11.02.02.2031,110202,Kayu Mbelin
11.02.02.2032,110202,Lawe Sigala Barat Jaya
11.02.02.2033,110202,Lawe Pekhidinen
11.02.02.2034,110202,Kertimbang
11.02.02.2035,110202,Ndauh Nitenggo
11.02.03.2001,110203,Bambel Gabungan
11.02.03.2002,110203,Kisam
11.02.03.2005,110203,Lawe Hijo
11.02.03.2006,110203,Pinding
11.02.03.2009,110203,Terutung Megara Asli
11.02.03.2011,110203,Biak Muli
11.02.03.2012,110203,Kute Lang-Lang
11.02.03.2013,110203,Pedesi
11.02.03.2014,110203,Terutung Payung Hulu
11.02.03.2015,110203,Terutung Payung Hilir
11.02.03.2016,110203,Tualang Sembilar
11.02.03.2017,110203,Kuning I
11.02.03.2018,110203,Kuning II
11.02.03.2019,110203,Cinta Damai
11.02.03.2020,110203,Likat
11.02.03.2021,110203,Rikit
11.02.03.2023,110203,Bambel
11.02.03.2025,110203,Lawe Kihing
11.02.03.2026,110203,Terutung Seperai
11.02.03.2027,110203,Kute Seri
11.02.03.2028,110203,Kuta Antara
